;GROUP_SET;GROUP_VALUE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;NBA_FANTASY_PTS;DD2;TD3;GP_RANK;W_RANK;L_RANK;W_PCT_RANK;MIN_RANK;FGM_RANK;FGA_RANK;FG_PCT_RANK;FG3M_RANK;FG3A_RANK;FG3_PCT_RANK;FTM_RANK;FTA_RANK;FT_PCT_RANK;OREB_RANK;DREB_RANK;REB_RANK;AST_RANK;TOV_RANK;STL_RANK;BLK_RANK;BLKA_RANK;PF_RANK;PFD_RANK;PTS_RANK;PLUS_MINUS_RANK;NBA_FANTASY_PTS_RANK;DD2_RANK;TD3_RANK;CFID;CFPARAMS;;PERSON_ID;FIRST_NAME;LAST_NAME;DISPLAY_FIRST_LAST;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER
2;By Period;3;21;15;6;0.714;6.3;1.1;1.8;0.605;0;0;0;0.5;0.6;0.833;0.5;1.1;1.6;0.8;0.4;0.4;0.2;0.1;1.1;0.7;2.7;4.1;7;0;0;1;1;1;2;2;1;1;1;1;1;1;2;3;2;3;3;3;1;3;2;1;3;1;3;1;2;1;1;1;25;3;;2587;Zaza;Pachulia;Zaza Pachulia;Pachulia, Zaza;Z. Pachulia;1984-02-10T00:00:02;Tbilisi, Georgia;Georgia;UlkersporGeorgia/Georgia;08-Nov;270;14;27;Center;Active;1610612746;Warriors;GSW;warriors;Golden State;zaza_pachulia;2003;2017;N;Y;2003;2;42
3;By Period;4;3;3;0;1;4.4;0.7;1.7;0.4;0;0;0;0.3;0.7;0.5;0.7;1;1.7;0;0.3;0;0;0.3;0.3;0.7;1.7;-1.7;3.3;0;0;3;3;4;1;4;3;2;3;1;1;1;3;2;4;1;4;2;4;4;4;3;1;3;2;2;4;4;1;1;25;4;;2588;Zaza;Pachulia;Zaza Pachulia;Pachulia, Zaza;Z. Pachulia;1984-02-10T00:00:03;Tbilisi, Georgia;Georgia;UlkersporGeorgia/Georgia;09-Nov;270;14;27;Center;Active;1610612747;Warriors;GSW;warriors;Golden State;zaza_pachulia;2003;2017;N;Y;2003;2;42
0;By Period;1;19;14;5;0.737;11.1;2.4;5.9;0.411;0.9;2.9;0.304;1.8;2.1;0.897;0.3;1.6;1.9;2.1;1.1;0.6;0;0.1;0.7;1.3;7.6;0.5;13.9;2;0;1;1;1;1;2;2;2;4;2;2;4;3;2;4;2;1;1;2;2;2;4;2;2;2;2;3;2;1;1;25;1;;201939;Stephen;Curry;Stephen Curry;Curry, Stephen;S. Curry;1988-03-14T00:00:00;Davidson;USA;Davidson/USA;06-Mar;190;8;30;Guard;Active;1610612744;Warriors;GSW;warriors;Golden State;stephen_curry;2009;2017;N;Y;2009;1;7
1;By Period;2;19;14;5;0.737;6.3;1.6;3.6;0.456;0.8;2.3;0.341;1.9;1.9;1;0.1;1.2;1.2;1.4;0.4;0.3;0;0;0.7;1.1;5.9;4.5;10.1;2;0;1;1;1;1;3;3;3;3;3;3;2;2;3;1;4;3;3;3;4;3;3;3;3;3;3;2;3;1;1;25;2;;201940;Stephen;Curry;Stephen Curry;Curry, Stephen;S. Curry;1988-03-14T00:00:01;Davidson;USA;Davidson/USA;07-Mar;190;8;30;Guard;Active;1610612745;Warriors;GSW;warriors;Golden State;stephen_curry;2009;2017;N;Y;2009;1;7
2;By Period;3;19;14;5;0.737;11.2;3.2;6;0.526;1.5;3.2;0.467;2.1;2.2;0.929;0.3;1.5;1.7;2.3;1.1;0.7;0.2;0.3;0.8;1.5;9.8;6.9;16.9;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;25;3;;201941;Stephen;Curry;Stephen Curry;Curry, Stephen;S. Curry;1988-03-14T00:00:02;Davidson;USA;Davidson/USA;08-Mar;190;8;30;Guard;Active;1610612746;Warriors;GSW;warriors;Golden State;stephen_curry;2009;2017;N;Y;2009;1;7
3;By Period;4;12;8;4;0.667;5.9;1.4;3.1;0.459;0.6;1.8;0.333;0.8;0.8;1;0.1;0.5;0.6;0.8;0.7;0.3;0.1;0;0.3;0.4;4.2;-0.2;6.3;1;0;4;4;4;4;4;4;4;2;4;4;3;4;4;1;3;4;4;4;3;4;2;4;4;4;4;4;4;4;1;25;4;;201942;Stephen;Curry;Stephen Curry;Curry, Stephen;S. Curry;1988-03-14T00:00:03;Davidson;USA;Davidson/USA;09-Mar;190;8;30;Guard;Active;1610612747;Warriors;GSW;warriors;Golden State;stephen_curry;2009;2017;N;Y;2009;1;7
0;By Period;1;11;6;5;0.545;3.7;0.4;0.8;0.444;0;0;0;0.3;0.3;1;0.2;0.3;0.5;0.5;0.2;0.1;0;0;0.3;0.2;1;1.8;2.5;0;0;3;3;2;3;3;4;4;3;1;2;1;1;1;1;3;4;4;4;3;4;4;3;4;3;4;3;4;1;1;25;1;;2733;Shaun;Livingston;Shaun Livingston;Livingston, Shaun;S. Livingston;1985-09-11T00:00:00;Peoria Central HS (IL);USA;Peoria Central HS (IL)USA/USA;06-Jul;192;12;34;Guard;Active;1610612744;Warriors;GSW;warriors;Golden State;shaun_livingston;2004;2017;Y;Y;2004;1;4
1;By Period;2;19;13;6;0.684;6.6;1.2;2.3;0.535;0;0.1;0;0.1;0.2;0.5;0.3;0.5;0.8;0.8;0.3;0.1;0.2;0.1;0.6;0.2;2.5;2.1;5.3;0;0;1;1;1;1;1;1;1;1;1;1;1;4;2;4;1;2;2;2;2;3;1;2;2;2;1;2;1;1;1;25;2;;2734;Shaun;Livingston;Shaun Livingston;Livingston, Shaun;S. Livingston;1985-09-11T00:00:01;Peoria Central HS (IL);USA;Peoria Central HS (IL)USA/USA;07-Jul;192;12;34;Guard;Active;1610612745;Warriors;GSW;warriors;Golden State;shaun_livingston;2004;2017;Y;Y;2004;1;4
2;By Period;3;11;6;5;0.545;3.5;0.5;1.1;0.417;0;0;0;0.2;0.2;1;0.1;0.5;0.5;0.9;0.1;0.2;0.1;0;0.5;0.1;1.1;2.2;3.8;0;0;3;3;2;3;4;3;3;4;1;2;1;3;4;1;4;3;3;1;4;1;3;3;3;4;3;1;3;1;1;25;3;;2735;Shaun;Livingston;Shaun Livingston;Livingston, Shaun;S. Livingston;1985-09-11T00:00:02;Peoria Central HS (IL);USA;Peoria Central HS (IL)USA/USA;08-Jul;192;12;34;Guard;Active;1610612746;Warriors;GSW;warriors;Golden State;shaun_livingston;2004;2017;Y;Y;2004;1;4
3;By Period;4;15;10;5;0.667;6.5;0.8;1.6;0.5;0;0;0;0.2;0.2;1;0.3;0.5;0.8;0.7;0.4;0.1;0.1;0.3;0.7;0.3;1.8;1.6;4.2;0;0;2;2;2;2;2;2;2;2;1;2;1;2;3;1;2;1;1;3;1;2;2;1;1;1;2;4;2;1;1;25;4;;2736;Shaun;Livingston;Shaun Livingston;Livingston, Shaun;S. Livingston;1985-09-11T00:00:03;Peoria Central HS (IL);USA;Peoria Central HS (IL)USA/USA;09-Jul;192;12;34;Guard;Active;1610612747;Warriors;GSW;warriors;Golden State;shaun_livingston;2004;2017;Y;Y;2004;1;4
0;By Period;1;16;11;5;0.688;9.2;2.1;4.6;0.459;0.6;1.5;0.417;0.6;0.6;1;0.1;1.6;1.7;1.2;1.1;0.1;0.4;0.6;0.5;0.9;5.4;0.1;9.7;2;0;1;1;1;1;2;3;2;4;3;3;2;4;4;1;4;2;2;3;1;3;4;1;4;3;3;4;3;1;1;25;1;;201142;Kevin;Durant;Kevin Durant;Durant, Kevin;K. Durant;1988-09-29T00:00:00;Texas;USA;Texas/USA;06-Sep;240;10;35;Forward;Active;1610612744;Warriors;GSW;warriors;Golden State;kevin_durant;2007;2017;N;Y;2007;1;2
1;By Period;2;16;11;5;0.688;9;2.7;4.9;0.544;0.5;1.3;0.381;1.6;2;0.781;0.3;1.9;2.2;1;0.9;0.4;0.8;0.2;0.5;1.4;7.4;1.6;14;2;0;1;1;1;1;3;1;1;2;4;4;4;1;1;4;1;1;1;4;2;1;1;2;3;1;1;3;1;1;1;25;2;;201143;Kevin;Durant;Kevin Durant;Durant, Kevin;K. Durant;1988-09-29T00:00:01;Texas;USA;Texas/USA;07-Sep;240;10;35;Forward;Active;1610612745;Warriors;GSW;warriors;Golden State;kevin_durant;2007;2017;N;Y;2007;1;2
2;By Period;3;16;11;5;0.688;9.2;2.6;4.6;0.575;0.6;1.6;0.4;1.3;1.3;0.952;0.2;1.4;1.6;1.3;0.8;0.3;0.4;0.1;0.6;1.1;7.1;5.2;12.3;2;0;1;1;1;1;1;2;3;1;2;2;3;2;2;2;2;3;3;1;3;2;3;4;1;2;2;1;2;1;1;25;3;;201144;Kevin;Durant;Kevin Durant;Durant, Kevin;K. Durant;1988-09-29T00:00:02;Texas;USA;Texas/USA;08-Sep;240;10;35;Forward;Active;1610612746;Warriors;GSW;warriors;Golden State;kevin_durant;2007;2017;N;Y;2007;1;2
3;By Period;4;15;10;5;0.667;7.3;1.7;3.1;0.543;0.9;1.7;0.52;0.8;0.9;0.857;0.1;1.3;1.4;1.3;0.6;0;0.5;0.1;0.6;0.9;5;2.4;9.6;2;0;4;4;1;4;4;4;4;3;1;1;1;3;3;3;3;4;4;2;4;4;2;3;2;4;4;2;4;1;1;25;4;;201145;Kevin;Durant;Kevin Durant;Durant, Kevin;K. Durant;1988-09-29T00:00:03;Texas;USA;Texas/USA;09-Sep;240;10;35;Forward;Active;1610612747;Warriors;GSW;warriors;Golden State;kevin_durant;2007;2017;N;Y;2007;1;2
